id,name,category,address,latitude,longitude,description,tags,url,phone,email,logo,linkedin,twitter,youtube,facebook,year
1,SALT Beyoğlu,Balkon-Bahçe,"Kallavi Sk. No:2
Asmalı Mescit
34430 Beyoğlu/İstanbul
Türkiye",41.03219547487958,28.976111114819332,"SALT Beyoğlu, 1130 metrekarelik programlama alanı ile öncelikle bir sergi mekânıdır. İstiklal Caddesi ile kurumun arayüzünde, günlük program bilgilerinin paylaşıldığı giriş mekânı Forum yer alır. Girişin uzantısına eklemlenen Açık Sinema, programlı gösterimlerin yanı sıra anlık etkinlikler, performanslar, konuşmalar için samimi bir platform oluşturur. SALT Beyoğlu yapısında ayrıca, SALT Mutfak'ta faaliyet gösteren Gastronomika, Ahmet Öğüt'ün yürüttüğü Aciliyet Mektebi, Robinson Crusoe 389 ve Slow Food Gençlik Ağı İstanbul Ekibi'nin programladığı 'Bahçe' bulunmaktadır.","bahçe, teras, beyoğlu, Atölyeler, Slow Food Gençlik Ağı, Robinson Crusoe 389, permakültür, bitki",http://www.ekoharita.com/project/salt-beyoglu/,+90 212 377 42 00,"",https://d12oh4b377r949.cloudfront.net/places/02bfde0e-7994-4473-a061-29652144bed3/27207157-c96e-46a4-9492-f736329d6982_logo,"",https://twitter.com/SALT_Online,https://www.youtube.com/user/SALTonlineistanbul,https://www.facebook.com/saltbeyoglu,2015
2,Tarlataban,Kent Bostanı,"Sarıyer, BÜ Güney Kampüsü, Türkiye",41.08146425654077,29.049934188885572,"Tarlataban, kolektif emek ve paylaşım ile doğayla dost bir tarım etkinliğinin yapılabileceğine ve bunun üniversite yerleşkesinde bütüncül bir değişim yaratabileceğine inanan bir grup insanın Boğaziçi Üniversitesi’nde bir araya gelerek oluşturduğu bir kolektiftir.","bostan, kent bostanı, kolektif, gıda egemenliği",http://www.ekoharita.com/project/tarlataban/,"",tabantarla@gmail.com,"","","","",http://www.ekoharita.com/project/tarlataban/,2012
3,Roma Bostanı,Kent Bostanı,Tüfekçi Salih Sk. No:1Kılıçali Paşa 34425 Beyoğlu/İstanbulTürkiye,41.02901762858505,28.983293780426038,Roma Bostanı'nı permakültür ilke ve prensiplerine göre tasarlıyoruz.Bostanda kendine yeten bir sistem oluşturmayı istiyoruz.,"permakültür, bostan, cihangir, bitki, kent bostanı, topluluk",http://www.ekoharita.com/project/roma-bostani/,"","",https://d12oh4b377r949.cloudfront.net/places/0a964200-2f31-4ba4-aaf0-0d34b88be481/b77063a8-daef-472c-9af5-b329d237f6a5_logo,"",http://www.ekoharita.com/project/roma-bostani/,"",http://www.ekoharita.com/project/roma-bostani/,2015
4,Şifahane,Ekolojik Yerleşke,"Bayramiç, Çavuşlu Köyü İç Yolu, 17720, Çanakkale, Türkiye",39.739599196519386,26.73219975029292,"Öncelikli niyetimiz kendi kendimize yetebileceğimiz 'temiz' bir yaşam oluşturmak. Ektiğimiz ile beslenmek, doğa ile uyumlanmak ve esasında şimdiye dek oluşmuş gerek fiziksel gerek ise ruhsal tortulardan arınmak, şifalanmak.","ekolojik, şifa",http://www.ekoharita.com/project/sifahane/,0553 223 5463,"",https://d12oh4b377r949.cloudfront.net/places/1397acb1-4dc4-402a-8d28-da69d17a669d/afdb233a-0a8e-42c2-865e-a73396409019_logo,"","","",http://www.ekoharita.com/project/sifahane/,2015
5,Şişli Ekolojik Pazarı,Ekolojik Pazar & Gıda Topluluğu,"Semt Pazarı No:8
Cumhuriyet
34380 Şişli/İstanbul
Türkiye",41.0565020108847,28.980043583467136,Her Cumartesi 7:00 - 17:00 saatleri arasında kurulan ekolojik pazarda uygun fiyatlarda çok çeşitli organik sebze ve meyve bulabilirsiniz.,"buğday derneği, ekolojik, organik, gıda, şişli, ekolojik pazar, doğal ürün",http://www.ekoharita.com/project/sisli-ekolojik-pazari/,+90 (216) 349 99 33,portal@bugday.org,https://d12oh4b377r949.cloudfront.net/places/1b1eef47-4eba-488c-b95a-b6f739c92d7d/1ddb848e-095e-4fcf-8b1d-5bb0cf687949_logo,"","","",https://www.facebook.com/groups/114674690694/?fref=ts,2015
6,Dedetepe Ekolojik Yaşam Çiftliği,Ekolojik Yerleşke,"Dedetepe Eco-Farm
Değirmendere Mevkii No:1
Mıhlı, Küçükkuyu, Çanakkale
01234 Küçükkuyu
Türkiye",39.57560946076044,26.65040662698368,"Dedetepe Çiftliği, ağırlıkla Zeytinyağı üreten bir Eko-Çiftlik / Kamp’ tır. Kuruluşundan bu yana gönüllüleri ağırlıyor ve 2010′dan beri Ekolojik Kampyeri olarak çalışıyor. Ayrıca Buğday Çamtepe Kültür Merkezindeki Eğitimlerin konaklama hizmeti veriyor.","çiftlik, toprak, ziyaret, eğitim, ekoloji, bitki, bahçe",http://www.ekoharita.com/project/dedetepe-ekolojik-yasam-ciftligi/,+90 537 953 81 05,info@dedetepe.org,https://d12oh4b377r949.cloudfront.net/places/1c72347a-f98d-44dd-bf8b-e64a2df7dc68/57b593ff-69cd-42ce-9cb6-44bc9bff466b_logo,"",http://www.ekoharita.com/project/dedetepe-ekolojik-yasam-ciftligi/,http://www.ekoharita.com/project/dedetepe-ekolojik-yasam-ciftligi/,http://www.ekoharita.com/project/dedetepe-ekolojik-yasam-ciftligi/,2015
7,Sevgi Ana Çiftliği,Çiftlik & Eko-Girişim,8043. Sk. No:135430 Kuşçular/Urla/İzmirTürkiye,38.26988186162613,26.74412228088852,"Doğal Yaşam Atölyesinde: Keçe, peynir ve yoğurt yapımı, keçi sütünden sabun yapımı , zehirsiz bahçe bakımı, ses çalışması ve çeşitli seminerler yapılmaktadır.","eğitim, bahçe, bostan, ziyaret, çiftlik",http://www.ekoharita.com/project/sevgi-ana-ciftligi/,0535 227 8111,"",https://d12oh4b377r949.cloudfront.net/places/206015c0-b2f7-45bf-bbee-c347ec713c7b/647be562-5550-4720-b808-2a1a89261b99_logo,"","","",http://www.ekoharita.com/project/sevgi-ana-ciftligi/,2007
8,Burgazada Kolektifi,Kolektif & İnisiyatif,Yeni Yalı Sk. No:52 Burgazadası34975 Adalar/İstanbulTürkiye,40.87930032743368,29.067910082000708,"Neşe! Ekmek! Ortaklık! Fırınımızı yaktık! Ekmeğimizi pişirdik! Her Çarşamba Heybeliada, her Cuma da Burgazada semt pazarinda 9:00- 14:00 arası buluşuyoruz!","kolektif, ekmek, fırın, doğal ürün, doğal gıda, Burgazada, yerel üretici",http://www.ekoharita.com/project/burgazada-kolektifi/,"","",https://d12oh4b377r949.cloudfront.net/places/20e368f7-1688-4bb8-a5b1-66e6f1c408ca/b17a2050-c464-454e-b74b-0b6cdc4975c8_logo,"",http://www.ekoharita.com/project/burgazada-kolektifi/,"",http://www.ekoharita.com/project/burgazada-kolektifi/,2015
9,Seferihisar Ekolojik Pazarı,Ekolojik Pazar & Gıda Topluluğu,"İzmir Seferihisar Yolu No:20
Ulamış
35460 Seferihisar/İzmir
Türkiye",38.241813671203936,26.830959792620888,Ekolojik pazar Ulamış Köyü girişinde ahşap iki katlı kafesi ve ahşap mimarisi ile görülen otantik alanda kuruluyor.,"ekolojik, ekolojik pazar, organik, gıda, buğday derneği, seferihisar",http://www.ekoharita.com/project/seferihisar-ekolojik-pazari/,+90 (216) 349 99 33,"",https://d12oh4b377r949.cloudfront.net/places/23f3191d-5b7f-4610-baf5-33c3e1960420/5adeda98-de1c-4e8a-bc34-7c822557a2fb_logo,"","","",https://www.facebook.com/groups/114674690694/?fref=ts,2015
10,Nusratlı Köyü Kültür Turizm ve Dayanışma Derneği,STK,"Ayvacık, Nusratlı Köyü, Çanakkale, Türkiye",39.56187,26.550418000000036,"Köyümüzün ve köylülerimizin sorunlarına çözüm yolları aramak, köyün tarımsal, turistik kültürel potansiyelinden yararlanıp köyün gelişimine katkıda bulunmak ve köylülerimiz arasında dayanışmayı artırmak amacıyla kurduk derneği.
Ekmeğimizi, yoğurdumuzu, reçellerimizi, domates soslarımızı, tarhanamızı, eriştemizi, turşumuzu, zeytinimizi, sabunumuzu kendimiz yapıyoruz. Mümkün olduğunca doğal beslenmeye çalışıyoruz. Esas olarak kendimiz için üretiyoruz. Ancak zaman zaman ürünlerimiz fazla geliyor ve biz de bu ürünleri paylaşmak istiyoruz.","Nusratlı Köyü, Kadın Dayanışması, El emeği ürünler, doğal ürün, Ziyaret, bilinçli beslenme, geleneksel, gıda",http://www.ekoharita.com/project/nusratli-koyu-kultur-turizm-ve-dayanisma-dernegi/,0286 752 6202,"",https://d12oh4b377r949.cloudfront.net/places/252197e9-949f-469b-a6c6-970ada197e0f/fd612b3c-1cc6-4beb-8238-111953d70378_logo,"","","",http://www.ekoharita.com/project/nusratli-koyu-kultur-turizm-ve-dayanisma-dernegi/,2005
11,Akmerkez Teras,Balkon-Bahçe,"Beşiktaş, Ak Merkez AVM, Türkiye",41.0765273,29.027752899999996,Teras bahçesi,"balkon, bahçe, teras, bitki",http://www.ekoharita.com/project/akmerkez-teras/,"","","","","","",http://www.ekoharita.com/project/akmerkez-teras/,2015
12,Geleneksel Tohum Derneği,STK,"Kaptan Paşa, Şişli, İdil Sk., 5 A, 34384 İstanbul, Türkiye",41.06245951257516,28.970392452709234,"Amacımız;Geleneksel tohumlarımızı korumak ve yaygınlaştırma amacıyla,doğal tarıma geçilmesi için_x000d_
tohum dağıtımı, eğitim ve yayınlar ile doğal tarım yöntemlerinin geliştirip yaygınlaştırılmasını sağlamaktır.","yerel tohum, doğal tarım, geleneksel",http://www.ekoharita.com/project/geleneksel-tohum-dernegi/,0212 221 96 06,"",https://d12oh4b377r949.cloudfront.net/places/30f8e3d8-3cf9-4f4b-9c85-18c1941948e7/27fb5eff-d536-4bb1-b873-2eedfa1e37e8_logo,"","","",http://www.ekoharita.com/project/geleneksel-tohum-dernegi/,2015
13,Ali Kışlak Forest,Çiftlik & Eko-Girişim,"Fethiye, 48850 Korubükü, Muğla, Türkiye",36.47095100000001,29.349666999999954,"Kendi kişisel iç ekosistemimizden başlayarak ,
doğa ve insan ilişkileriyle örülen ekosistemlerimizin sürdürülebilir tasarımlarıyla ,
her canlının daha iyi hissederek yaşadığı dünyalar , ormanlar yaratmak amacıyla orman felsefesi tasarımlarıyla ,
sorunları olumlu çözümleyebilmek için ,
yaşam kalitemizi artırabillmek için
danışmanlıklar veriyoruz","bahçe, orman, doğal tarım, sürdürülebilir yaşam, permakültür, ziyaret",http://www.ekoharita.com/project/ali-kislak-forest/,"",kislakali@gmail.com,"","","","","",2013
14,Yeryüzü Derneği Pamukova Yerleşkesi,Ekolojik Yerleşke,"Pamukova, Kadıköy Köyü, Sakarya, Türkiye",40.5413,30.111099999999965,"Yeryüzü Derneği’nin insiyatifiyle hayata geçen,Sakarya’daki ‘Burcu Evi', Ekolojik Köyler Ağı’na bağlı olan yeni bir ekoköy.Permakültür tasarımıyla inşa edilen evin ardından,düzenlenecek permakültür etkinlikleriyle,ekoköy,sürdürülebilir hale getirilmek isteniyor.","sakarya, kerpiç, saman, Burcu Evi, permakültür, bahçe, eko topluluk, toprak",http://www.ekoharita.com/project/yeryuzu-dernegi-pamukova-yerleskesi/,"",iletisim@yeryuzudernegi.org,https://d12oh4b377r949.cloudfront.net/places/340e5f0b-7e97-49e0-b10a-b4510e48b41f/77056c12-6d95-4c25-8a9c-af622443a3f7_logo,"","","",http://www.ekoharita.com/project/yeryuzu-dernegi-pamukova-yerleskesi/,2014
15,Kartal Ekolojik Pazarı,Ekolojik Pazar & Gıda Topluluğu,"Pazar Alanı, Kordonboyu, Kartal, Hükümet Cd., 34860 İstanbul, Türkiye",40.888061,29.184945999999968,Buğday Derneği'nin katkılarıyla Kartal Tren İstasyonu'nun yakınında bulunan pazar alanında Pazar günleri 8:00 - 18:00 saatleri arasında kurulan ekolojik pazarda uygun fiyatlarda çok çeşitli organik sebze ve meyve bulabilirsiniz.,"buğday derneği, gıda, organik, bağ, doğal ürün, kartal, ekolojik pazar, ekolojik",http://www.ekoharita.com/project/kartal-ekolojik-pazari/,+90 (216) 349 99 33,portal@bugday.org,https://d12oh4b377r949.cloudfront.net/places/34bd4b25-b503-4409-b8bf-ca05cf3e4c3a/5fc17df1-d415-4f57-89a1-841901296e5f_logo,"","","",https://www.facebook.com/groups/114674690694/?fref=ts,2015
16,İmece Evi,Ekolojik Yerleşke,"Menemen, Turgutlar Köyü İç Yolu, 35660, İzmir, Türkiye",38.72439150052681,27.16622611380012,"Doğanın cennet köşesinde, kadim, yerel, geleneksel yöntemleri modern bilimle harmanlayıp neşeyle, hep birlikte doğal üretim yapıp bunları dostlarımızla, ziyaretçilerimizle paylaşıyoruz. 
Ekonomik ihtiyaçlarımızı az sayıda ürettiğimiz zeytin,zeytinyağı,peynir gibi ürünlerimizi ve bizim gibi üretmesi için cesaretlendirdiğimiz üretici,köylü dostlarımızın ürünlerini çalışmalarımıza katılmış “imecan” lar la paylaşarak karşılıyoruz.","bitki, doğal ürün, doğa, ekolojik yaşam, geleneksel, toprak, ziyaret, çiftlik",http://www.ekoharita.com/project/imece-evi/,0543 677 58 09,imeceevi@gmail.com,https://d12oh4b377r949.cloudfront.net/places/397802e4-cbb9-4425-94a8-b7fe0299d54e/f401106d-ae42-425f-b047-b79ccf76fb58_logo,"","","",http://www.ekoharita.com/project/imece-evi/,2007
